,Unnamed: 0.1,Unnamed: 0,ID,Rodada,Data,Casa,Fora,Gol_Casa,Gol_Fora,Escanteios_Casa,Escanteios_Fora,Cartao_Amarelo_Casa,Cartao_Amarelo_Fora,Cartao_Vermelho_Casa,Cartao_Vermelho_Fora,PrimeiroGol,Posse_De_Bola_Casa,Posse_De_Bola_Fora,AtaquePerigoso_Casa,AtaquePerigoso_Fora,Ataque_Casa,Ataque_Fora,Finalizacao_Gol_Casa,Finalizacao_Gol_Fora,Finalizacao_Casa,Finalizacao_Fora
532,532.0,533.0,2023-8São PauloGoiás,8,2023/05/27 21:00,São Paulo,Goiás,2,1,11,5,1,4,0,0,29' - 1st Goal - Maguinho (Goias) - Header,68,32,63,25,124,75,7,3,10,6
533,533.0,534.0,2023-8Cuiabá ECCoritiba,8,2023/05/27 18:30,Cuiabá EC,Coritiba,1,1,2,6,3,5,0,0,3' - 1st Goal - Fernando Sobral (Cuiaba) -,44,56,41,29,132,123,2,2,7,7
534,534.0,535.0,2023-8FlamengoCruzeiro,8,2023/05/27 18:30,Flamengo,Cruzeiro,1,1,2,1,4,5,0,0,5' - 1st Goal - Marlon (Cruzeiro) -,62,38,73,40,144,92,3,6,10,12
535,535.0,536.0,2023-8Fortaleza ECVasco da Gama,8,2023/05/27 16:00,Fortaleza EC,Vasco da Gama,2,0,9,5,3,1,0,0,87' - 1st Goal - Thiago Galhardo (Fortaleza) -,49,51,50,39,104,99,7,1,9,12
536,536.0,537.0,2023-8Athletico ParanaenseGrêmio,8,2023/05/27 16:00,Athletico Paranaense,Grêmio,1,2,10,5,2,4,0,0,32' - 1st Goal - Cuiabano (Gremio) -,66,34,70,26,147,96,4,4,12,5
537,537.0,538.0,2023-7CruzeiroCuiabá EC,7,2023/05/22 20:00,Cruzeiro,Cuiabá EC,0,1,6,2,1,3,0,0,37' - 1st Goal - Deyverson (Cuiaba) -,65,35,69,31,152,100,8,3,7,12
538,538.0,539.0,2023-7GrêmioInternacional,7,2023/05/21 18:30,Grêmio,Internacional,3,1,3,7,1,1,1,0,7' - 1st Goal - Suarez (Gremio) -,29,71,48,53,83,131,4,4,9,19
539,539.0,540.0,2023-7FlamengoCorinthians,7,2023/05/21 16:00,Flamengo,Corinthians,1,0,6,9,0,2,0,0,,65,35,74,35,153,70,4,3,7,12
540,540.0,541.0,2023-7SantosPalmeiras,7,2023/05/20 21:00,Santos,Palmeiras,0,0,3,4,3,1,0,0,,38,62,46,40,102,129,4,1,8,11
541,541.0,542.0,2023-7São PauloVasco da Gama,7,2023/05/20 18:30,São Paulo,Vasco da Gama,4,2,3,9,0,3,0,0,24' - 1st Goal - Calleri (Sao Paulo) -,52,48,35,59,88,115,7,3,8,13
542,542.0,543.0,2023-7BotafogoFluminense,7,2023/05/20 18:30,Botafogo,Fluminense,1,0,7,4,4,2,0,0,75' - 1st Goal - Cuesta (Botafogo) - Shot (Assist: Tiquinho Soares),34,66,29,75,89,187,1,4,8,7
543,543.0,544.0,2023-7CoritibaAtlético Mineiro,7,2023/05/20 18:30,Coritiba,Atlético Mineiro,1,2,5,7,4,7,1,1,13' - 1st Goal - Robson (Coritiba) -,34,66,37,56,89,129,2,5,10,12
544,544.0,545.0,2023-7BragantinoAthletico Paranaense,7,2023/05/20 18:30,Bragantino,Athletico Paranaense,2,0,6,5,2,3,0,0,16' - 1st Goal - Eduardo Sasha (Bragantino) -,61,39,59,33,104,72,4,5,8,9
545,545.0,546.0,2023-7América MineiroFortaleza EC,7,2023/05/20 18:30,América Mineiro,Fortaleza EC,2,1,1,2,4,2,0,0,2' - 1st Goal - Breno (America MG) -,27,73,46,105,66,122,2,5,7,3
546,546.0,547.0,2023-7EC BahiaGoiás,7,2023/05/20 16:00,EC Bahia,Goiás,1,1,4,6,1,3,0,0,25' - 1st Goal - Everaldo (Bahia) -,51,49,62,40,124,105,4,7,18,10
547,547.0,548.0,2023-6Athletico ParanaenseCoritiba,6,2023/05/14 18:30,Athletico Paranaense,Coritiba,3,2,4,1,3,3,0,0,20' - 1st Goal - Moreno (Coritiba) - Shot,66,34,66,30,179,90,7,3,19,4
548,548.0,549.0,2023-6GoiásBotafogo,6,2023/05/14 18:30,Goiás,Botafogo,2,1,4,7,6,3,0,0,33' - 1st Goal - Tiquinho Soares (Botafogo) -,47,53,48,63,85,103,5,2,3,15
