Data,Horário,Rodada,Mandante,Visitante,Gols_Mandante,Gols_Visitante,Resultado Final,Total_Gols,Gols_Mandante_Primeiro_Tempo,Gols_Visitante_Primeiro_Tempo,Resultado_Primeiro_Tempo,Total_Gols_Primeiro_Tempo,Posição_Mandante,Posição_Visitante,Minuto_Gols_Mandante,Minuto_Gols_Visitante,Jogador_Mandante_Gols,Jogador_Visitante_Gols,Gols_Mandante_Prorrogação,Gols_Visitante_Prorrogação,Gols_Mandante_Pênaltis,Gols_Visitante_Pênaltis,Primeiro_Time_Marcador,Árbitro,Público
23/05/2026,17:00,17,Vitória,Internacional,2,0,M,2,1,0,M,1,14,11,"29, 90+7",,"Renê, Diego Tarzia",,0,0,0,0,Vitória,Felipe Fernandes de Lima,25114
23/05/2026,19:00,17,Mirassol,Fluminense,1,0,M,1,1,0,M,1,19,3,36,,Denilson,,0,0,0,0,Mirassol,Sávio Pereira Sampaio,7085
23/05/2026,19:00,17,Grêmio,Santos,3,2,M,5,1,1,E,2,15,16,"40, 59, 63","32, 55","Carlos Vinícius, Carlos Vinícius, Tetê","Gabriel Barbosa, Gabriel Barbosa",0,0,0,0,Santos,Bruno Arleu de Araújo,37385
23/05/2026,21:00,17,Flamengo,Palmeiras,0,3,V,3,0,1,V,1,2,1,,"38, 57, 90+5",,"José Manuel López, Allan, Paulinho",0,0,0,0,Palmeiras,Davi de Oliveira Lacerda,71205
24/05/2026,16:00,17,Cruzeiro,Chapecoense,2,1,M,3,1,0,M,1,13,20,"27, 73",79,"Kaio Jorge, Luis Sinisterra",João Paulo,0,0,0,0,Cruzeiro,Flavio Rodrigues de Souza,44625
24/05/2026,16:00,17,Remo,Athletico-PR,1,2,V,3,1,1,E,2,18,5,14,"45, 53",Jajá,"Kevin Viveros, Kevin Viveros",0,0,0,0,Remo,Rodrigo José Pereira de Lima,25290
24/05/2026,18:30,17,Corinthians,Atlético-MG,1,0,M,1,0,0,E,0,17,10,88,,Zakaria Labyad,,0,0,0,0,Corinthians,Rafael Rodrigo Klein,42508
24/05/2026,20:30,17,Vasco da Gama,Bragantino,0,3,V,3,0,1,V,1,12,6,,"45+1, 60, 77",,"Rodriguinho, Isidro Pitta, Fernando",0,0,0,0,Bragantino,Fernando Antonio Mendes,13805
25/05/2026,20:00,17,Coritiba,Bahia,3,2,M,5,0,1,V,1,8,7,"56, 65, 68","26, 90+1","Bruno Melo, Joaquín Lavega, Breno Lopes","Tiago Cóser, Everaldo",0,0,0,0,Bahia,Anderson Daronco,20680
30/05/2026,16:00,18,Athletico-PR,Mirassol,1,0,M,1,0,0,E,0,4,18,88,,Kevin Viveros,,0,0,0,0,Athletico-PR,Fernando Antonio Mendes,27927
30/05/2026,16:00,18,Flamengo,Coritiba,3,0,M,3,1,0,M,1,2,6,"11, 60, 70",,"Samuel Lino, Pedro, Samuel Lino",,0,0,0,0,Flamengo,Flavio Rodrigues de Souza,51270
30/05/2026,17:30,18,Grêmio,Corinthians,1,3,V,4,1,1,E,2,14,15,7,"45+2, 65, 67",Gabriel Mec,"André, André, Kaio César",0,0,0,0,Grêmio,Lucas Paulo Torezin,42359
30/05/2026,17:30,18,Bahia,Botafogo,2,1,M,3,0,1,V,1,8,10,"57, 90+2",7,"Nahuel Ferraresi, David Duarte",Huguinho,0,0,0,0,Botafogo,Davi de Oliveira Lacerda,25249
30/05/2026,20:00,18,Santos,Vitória,3,1,M,4,1,0,M,1,17,11,"19, 54, 56",74,"Miguelito, Álvaro Barreal, Gabriel Barbosa",Renê,0,0,0,0,Santos,Rafael Rodrigo Klein,11172
31/05/2026,11:00,18,Bragantino,Internacional,3,1,M,4,2,0,M,2,5,13,"18, 45+7, 52",79,"Fernando, Juninho Capixaba, Tiago Volpi",Braian Aguirre,0,0,0,0,Bragantino,Alex Gomes Stefano,5559
31/05/2026,16:00,18,Vasco da Gama,Atlético-MG,0,1,V,1,0,1,V,1,16,12,,32,,Vitor Hugo,0,0,0,0,Atlético-MG,Anderson Daronco,20133
31/05/2026,16:00,18,Palmeiras,Chapecoense,1,0,M,1,0,0,E,0,1,20,65,,Paulinho,,0,0,0,0,Palmeiras,Felipe Fernandes de Lima,36543
31/05/2026,20:30,18,Remo,São Paulo,1,0,M,1,0,0,E,0,19,7,90+4,,Marcelinho,,0,0,0,0,Remo,Jonathan Benkenstein Pinheiro,25649
31/05/2026,20:30,18,Cruzeiro,Fluminense,1,1,E,2,0,1,V,1,9,3,75,43,Matheus Pereira,John Kennedy,0,0,0,0,Fluminense,Lucas Casagrande,29662
